105,129,128,78,153,93,100,142,124,1
104,128,129,76,153,94,100,143,125,1
104,129,127,77,154,92,100,143,124,1
104,130,127,77,154,91,99,142,123,1
105,130,127,77,154,92,99,142,123,1
105,128,129,77,153,94,100,142,125,1
104,128,129,77,153,94,100,142,125,1
103,129,127,77,154,92,100,142,123,1
103,129,126,78,154,91,100,143,123,1
103,129,126,77,154,92,99,142,123,1
102,128,125,76,154,92,97,141,123,1
101,128,126,75,154,93,96,142,124,1
102,129,126,76,154,92,98,143,124,1
102,130,125,77,154,92,99,143,123,1
101,128,127,75,154,94,95,142,124,1
101,129,124,77,154,92,98,142,123,1
100,128,126,75,154,94,96,142,124,1
101,129,126,76,154,93,98,143,124,1
100,128,125,76,154,93,96,142,123,1
101,129,125,76,154,92,97,142,123,1
100,128,125,75,153,93,96,142,124,1
100,129,124,74,154,91,95,141,122,1
99,128,125,75,153,92,95,142,123,1
100,128,126,75,153,94,95,142,124,1
99,129,124,75,154,91,95,142,122,1
99,127,125,75,153,93,95,142,123,1
98,129,123,75,154,91,95,142,122,1
98,129,122,74,155,90,94,142,121,1
97,128,122,74,154,90,95,142,122,1
97,128,122,73,154,90,94,142,121,1
98,129,122,74,154,91,94,142,122,1
97,128,122,73,154,90,94,142,122,1
97,129,121,74,154,90,94,142,121,1
97,129,122,75,154,91,95,142,122,1
98,129,122,74,154,90,94,142,121,1
98,129,121,74,154,90,95,142,121,1
96,128,121,73,154,90,93,142,121,1
97,129,121,74,154,89,94,142,121,1
95,127,121,73,154,91,92,141,121,1
95,128,120,73,154,90,91,140,119,1
96,128,120,73,154,90,92,140,120,1
95,128,120,74,154,90,91,140,119,1
95,127,121,72,154,91,91,141,121,1
95,127,121,73,154,91,92,141,121,1
95,127,121,73,153,91,91,141,120,1
94,127,122,72,153,92,91,141,121,1
95,127,121,73,153,91,90,140,119,1
94,127,122,72,153,92,89,140,119,1
95,128,121,73,153,91,90,140,119,1
94,127,122,72,153,92,89,140,119,1
92,128,119,72,155,88,91,141,119,1
91,128,118,72,155,89,91,141,119,1
91,128,119,71,154,90,90,141,119,1
91,128,118,73,155,89,91,141,119,1
91,128,119,72,154,89,90,141,119,1
90,128,118,71,154,89,90,141,118,1
92,128,117,72,154,88,90,141,117,1
91,128,117,71,154,89,87,139,114,1
90,127,117,72,154,89,87,139,114,1
89,127,117,71,154,90,86,140,115,1
89,127,117,71,154,89,87,140,115,1
87,128,115,70,155,88,85,140,113,1
89,129,115,71,156,88,85,140,111,1
87,128,116,69,155,89,85,140,114,1
86,128,115,70,155,88,86,141,114,1
86,127,115,70,155,89,83,139,111,1
